,rf,dimensionality,noise_level,test_problem
Comb109,expectation,5,0.05,F20
Comb110,expectation,5,0.05,F24
Comb111,expectation,5,0.1,F2
Comb112,expectation,5,0.1,F3
Comb113,expectation,5,0.1,F7
Comb114,expectation,5,0.1,F9
Comb115,expectation,5,0.1,F10
Comb116,expectation,5,0.1,F13
Comb117,expectation,5,0.1,F15
Comb118,expectation,5,0.1,F16
Comb119,expectation,5,0.1,F20
Comb120,expectation,5,0.1,F24
Comb121,dispersion,2,0.05,F2
Comb122,dispersion,2,0.05,F3
Comb123,dispersion,2,0.05,F7
Comb124,dispersion,2,0.05,F9
Comb125,dispersion,2,0.05,F10
Comb126,dispersion,2,0.05,F13
Comb127,dispersion,2,0.05,F15
Comb128,dispersion,2,0.05,F16
Comb129,dispersion,2,0.05,F20
Comb130,dispersion,2,0.05,F24
Comb131,dispersion,2,0.1,F2
Comb132,dispersion,2,0.1,F3
Comb133,dispersion,2,0.1,F7
Comb134,dispersion,2,0.1,F9
Comb135,dispersion,2,0.1,F10
Comb136,dispersion,2,0.1,F13
Comb137,dispersion,2,0.1,F15
Comb138,dispersion,2,0.1,F16
Comb139,dispersion,2,0.1,F20
Comb140,dispersion,2,0.1,F24
Comb141,dispersion,5,0.05,F2
Comb142,dispersion,5,0.05,F3
Comb143,dispersion,5,0.05,F7
Comb144,dispersion,5,0.05,F9
Comb145,dispersion,5,0.05,F10
Comb146,dispersion,5,0.05,F13
Comb147,dispersion,5,0.05,F15
Comb148,dispersion,5,0.05,F16
Comb149,dispersion,5,0.05,F20
Comb150,dispersion,5,0.05,F24
Comb151,dispersion,5,0.1,F2
Comb152,dispersion,5,0.1,F3
Comb153,dispersion,5,0.1,F7
Comb154,dispersion,5,0.1,F9
Comb155,dispersion,5,0.1,F10
Comb156,dispersion,5,0.1,F13
Comb157,dispersion,5,0.1,F15
Comb158,dispersion,5,0.1,F16
Comb159,dispersion,5,0.1,F20
Comb160,dispersion,5,0.1,F24
Comb161,composite,2,0.05,F2
Comb162,composite,2,0.05,F3
Comb163,composite,2,0.05,F7
Comb164,composite,2,0.05,F9
Comb165,composite,2,0.05,F10
Comb166,composite,2,0.05,F13
Comb167,composite,2,0.05,F15
Comb168,composite,2,0.05,F16
Comb169,composite,2,0.05,F20
Comb170,composite,2,0.05,F24
Comb171,composite,2,0.1,F2
Comb172,composite,2,0.1,F3
Comb173,composite,2,0.1,F7
Comb174,composite,2,0.1,F9
Comb175,composite,2,0.1,F10
Comb176,composite,2,0.1,F13
Comb177,composite,2,0.1,F15
Comb178,composite,2,0.1,F16
Comb179,composite,2,0.1,F20
Comb180,composite,2,0.1,F24
Comb181,composite,5,0.05,F2
Comb182,composite,5,0.05,F3
Comb183,composite,5,0.05,F7
Comb184,composite,5,0.05,F9
Comb185,composite,5,0.05,F10
Comb186,composite,5,0.05,F13
Comb187,composite,5,0.05,F15
Comb188,composite,5,0.05,F16
Comb189,composite,5,0.05,F20
Comb190,composite,5,0.05,F24
Comb191,composite,5,0.1,F2
Comb192,composite,5,0.1,F3
Comb193,composite,5,0.1,F7
Comb194,composite,5,0.1,F9
Comb195,composite,5,0.1,F10
Comb196,composite,5,0.1,F13
Comb197,composite,5,0.1,F15
Comb198,composite,5,0.1,F16
Comb199,composite,5,0.1,F20
Comb200,composite,5,0.1,F24
